Time,Crosshead separation,Load,Extensometer elongation
(sec),(mm),(kN),(%)
6.468,1.71188,25.05673,0.03507
6.484,1.7178,25.15744,0.03544
6.502,1.7244,25.26895,0.03591
6.52,1.73104,25.37975,0.03638
6.538,1.73768,25.48965,0.03682
6.556,1.74428,25.60055,0.03727
6.574,1.75092,25.71114,0.0377
6.592,1.75756,25.82275,0.03812
6.608,1.76344,25.92369,0.03852
6.624,1.7694,26.02445,0.03889
6.64,1.77528,26.12492,0.03932
6.658,1.78188,26.23639,0.03979
6.676,1.78852,26.34685,0.04024
6.694,1.7952,26.4568,0.04068
6.712,1.80184,26.56741,0.04108
6.73,1.80848,26.67913,0.04151
6.746,1.81436,26.77961,0.0419
6.762,1.82032,26.88014,0.04232
6.78,1.82696,26.99233,0.04279
6.798,1.83364,27.10434,0.04324
6.814,1.83956,27.20451,0.04364
6.83,1.84544,27.30508,0.04404
6.846,1.85132,27.40633,0.04444
6.862,1.85724,27.50837,0.04487
6.878,1.86308,27.6098,0.0453
6.894,1.869,27.71074,0.04568
6.91,1.87484,27.8119,0.04607
6.926,1.88072,27.91278,0.04648
6.942,1.8866,28.01382,0.04691
6.958,1.89248,28.11553,0.04728
6.974,1.89836,28.21718,0.0477
6.99,1.9042,28.31921,0.04816
7.006,1.91004,28.42066,0.04861
7.022,1.91588,28.5208,0.04899
7.04,1.92244,28.6331,0.04945
7.058,1.929,28.74428,0.04994
7.076,1.93556,28.85617,0.05039
7.092,1.94136,28.95718,0.05082
7.108,1.9472,29.05756,0.05119
7.126,1.95372,29.16991,0.05162
7.142,1.95956,29.26999,0.05201
7.16,1.96616,29.38163,0.05246
7.178,1.97268,29.49348,0.05297
7.196,1.97924,29.60594,0.05341
7.214,1.9858,29.71775,0.05383
7.23,1.9916,29.81822,0.05426
7.246,1.99744,29.91826,0.05468
7.262,2.00324,30.01879,0.05508
7.278,2.00908,30.11961,0.05547
7.294,2.01488,30.22082,0.05585
7.31,2.02068,30.32121,0.05628
7.326,2.02648,30.42249,0.05672
7.342,2.03228,30.52378,0.05716
7.358,2.038,30.62457,0.05761
7.374,2.04376,30.72508,0.05802
7.392,2.05024,30.83719,0.05849
7.41,2.05668,30.94941,0.05898
7.428,2.06316,31.06175,0.05947
7.446,2.0696,31.17376,0.05998
7.462,2.07536,31.27418,0.06041
7.478,2.08108,31.37501,0.06084
7.494,2.08684,31.47603,0.06123
7.51,2.09256,31.57631,0.06161
7.528,2.09904,31.68868,0.06208
7.544,2.10476,31.78915,0.0625
7.562,2.1112,31.90086,0.06297
7.58,2.11764,32.01169,0.06342
7.598,2.12404,32.12292,0.06392
7.616,2.13044,32.23438,0.06438
7.634,2.13684,32.34599,0.06486
7.652,2.14324,32.45611,0.06534
7.67,2.14964,32.56684,0.06579
7.688,2.15604,32.67748,0.06628
7.706,2.1624,32.78876,0.06677
7.724,2.1688,32.90113,0.06726
7.742,2.17516,33.0135,0.06772
7.76,2.18152,33.1254,0.06821
7.778,2.18788,33.23679,0.0687
7.796,2.1942,33.34895,0.0692
7.814,2.20056,33.46122,0.06968
7.832,2.20688,33.57248,0.07018
7.85,2.2132,33.68397,0.07067
7.866,2.21884,33.7842,0.07112
7.884,2.22516,33.89578,0.07162
7.902,2.23148,34.00657,0.07211
7.92,2.23776,34.11745,0.07259
7.938,2.24404,34.22772,0.07309
7.956,2.25032,34.33734,0.07356
7.974,2.25664,34.44801,0.07403
7.992,2.26292,34.55966,0.07453
8.01,2.26916,34.67102,0.07503
8.028,2.27544,34.78055,0.07553
8.046,2.28168,34.88898,0.07602
8.064,2.28792,34.99736,0.07651
8.082,2.2942,35.1058,0.077
8.1,2.3004,35.21479,0.07748
